N           C3H3                    HC3N        H2                                  8.00E-11     0.00      0.0   10.  300.  5 C NN
CH2         O                       CO          H2                                  8.00E-11     0.00      0.0 1900. 2600.  5 A NN
O           NH2                     NO          H2                                  8.30E-12     0.00      0.0  298. 3000.  5 A NN
O           H2CN                    OCN         H2                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C2H4                    CH2CO       H2                                  5.11E-14     1.88     92.0  300. 2000.  5 A NN
O           PH2                     PO          H2                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
C2H2        Si                      SiC2        H2                                  1.30E-10    -0.71     29.0   15.  300.  5 B NN
C2H4        Si                      SiC2H2      H2                                  1.85E-10    -0.34     16.0   15.  300.  5 B NN
HCO         HCO                     CO          CO          H2                      3.63E-11     0.00      0.0  303.  376.  5 A NN
H+          CH4                     CH3+        H2                                  2.30E-09     0.00      0.0   10.41000.  5 A IN
H-          H2O                     OH-         H2                                  3.80E-09     0.00      0.0   10.41000.  5 C IN
H+          H2S                     HS+         H2                                  9.90E-10    -0.50      0.0   10.41000.  5 A IN
H+          CH3CN                   CH2CN+      H2                                  6.00E-10    -0.50      0.0   10.41000.  5 B IN
H3+         O                       OH+         H2                                  8.40E-10     0.00      0.0   10.41000.  5 B IN
H3+         CH4                     CH5+        H2                                  2.40E-09     0.00      0.0   10.41000.  5 A IN
H3+         H2O                     H3O+        H2                                  5.90E-09    -0.50      0.0   10.41000.  5 A IN
H3+         HF                      H2F+        H2                                  1.20E-08    -0.50      0.0   10.41000.  5 A IN
H3+         Na                      Na+         H2          H                       2.10E-09     0.00      0.0   10.41000.  5 B IN
H3+         Mg                      Mg+         H2          H                       1.00E-09     0.00      0.0   10.41000.  5 C IN
H3+         CO                      HCO+        H2                                  1.70E-09     0.00      0.0   10.41000.  5 A IN
H3+         CO                      HOC+        H2                                  2.70E-11     0.00      0.0   10.41000.  5 A IN
H3+         N2                      HN2+        H2                                  1.80E-09     0.00      0.0   10.41000.  5 A IN
H3+         NO                      HNO+        H2                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
H3+         O2                      O2H+        H2                                  9.30E-10     0.00    100.0   10. 3000.  5 A IN
H3+         Cl                      HCl+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
H3+         HCl                     H2Cl+       H2                                  3.80E-09    -0.50      0.0  200.  520.  5 A IN
H3+         CH2CN                   CH3CN+      H2                                  3.70E-09    -0.50      0.0   10.41000.  5 C IN
H3+         CO2                     HCO2+       H2                                  2.00E-09     0.00      0.0   10.41000.  5 A IN
H3+         HCOOH                   H3O+        CO          H2                      1.80E-09    -0.50      0.0   10.41000.  5 A IN
H3+         HCOOH                   HCO+        H2O         H2                      4.30E-09    -0.50      0.0   10.41000.  5 A IN
H3+         H2CS                    H3CS+       H2                                  2.80E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiC2H2                  SiC2H3+     H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         Fe                      Fe+         H2          H                       4.90E-09     0.00      0.0   10.41000.  5 C IN
H3+         OCS                     HOCS+       H2                                  1.90E-09     0.00      0.0   10.41000.  5 A IN
H3+         SO2                     HSO2+       H2                                  1.30E-09    -0.50      0.0   10.41000.  5 A IN
He+         CH4                     CH+         He          H2          H           2.40E-10     0.00      0.0   10.41000.  5 A IN
He+         CH4                     CH2+        He          H2                      9.50E-10     0.00      0.0   10.41000.  5 A IN
He+         H2CS                    CS+         He          H2                      8.10E-10    -0.50      0.0   10.41000.  5 C IN
C+          CH4                     C2H2+       H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
C+          NH3                     HCN+        H2                                  7.00E-11    -0.50      0.0   10.41000.  5 A IN
N           C2H3+                   C2NH+       H2                                  2.20E-10     0.00      0.0   10.41000.  5 C IN
N           SiH3+                   HNSi+       H2                                  1.00E-10     0.00      0.0   10.41000.  5 C IN
N           H2S+                    NS+         H2                                  7.90E-10     0.00      0.0   10.41000.  5 C IN
CH3+        O                       HCO+        H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
CH3+        CH4                     C2H5+       H2                                  1.20E-09     0.00      0.0   10.41000.  5 A IN
O           CH5+                    H3CO+       H2                                  4.40E-12     0.00      0.0   10.41000.  5 A IN
O           C2H3+                   HC2O+       H2                                  8.50E-11     0.00      0.0   10.41000.  5 B IN
O           SiH3+                   SiOH+       H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
O           H2S+                    SO+         H2                                  3.10E-10     0.00      0.0   10.41000.  5 C IN
CH4         P+                      PCH2+       H2                                  9.60E-10     0.00      0.0   10.41000.  5 A IN
CH4         PH+                     PCH3+       H2                                  1.05E-09     0.00      0.0   10.41000.  5 A IN
CH4         S+                      HCS+        H2          H                       2.00E-11     0.00      0.0   10.41000.  5 A IN
CH4         PH2+                    PCH4+       H2                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
H2O         P+                      PO+         H2                                  5.50E-11    -0.50      0.0   10.41000.  5 A IN
H2O         PH+                     HPO+        H2                                  7.44E-10    -0.50      0.0   10.41000.  5 A IN
H2O         PH2+                    H2PO+       H2                                  3.28E-10    -0.50      0.0   10.41000.  5 A IN
H3O+        P                       HPO+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C2H3+       S                       HC2S+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
HCNH+       Si                      SiNC+       H2                                  5.00E-10     0.00      0.0   10.41000.  5 C IN
H2+         CH4                     CH4+        H2                                  1.40E-09     0.00      0.0   10.41000.  5 A CE
H2+         CO                      CO+         H2                                  6.44E-10     0.00      0.0   10.41000.  5 A CE
H3+         E-                      H2          H                                   2.34E-08    -0.52      0.0   10. 1000.  5 A DR
CH3+        E-                      CH          H2                                  1.95E-07    -0.50      0.0   10.  300.  5 A DR
CH5+        E-                      CH3         H2                                  1.40E-08    -0.52      0.0   10.  300.  5 A DR
CH5+        E-                      CH2         H2          H                       4.76E-08    -0.52      0.0   10.  300.  5 A DR
NH4+        E-                      NH2         H2                                  1.52E-07    -0.47      0.0   12.  620.  5 A DR
H3O+        E-                      O           H2          H                       5.60E-09    -0.50      0.0   10. 1000.  5 A DR
H3O+        E-                      OH          H2                                  6.02E-08    -0.50      0.0   10. 1000.  5 A DR
H2F+        E-                      H2          F                                   3.50E-07    -0.50      0.0   10.  300.  5 B DR
C2H3+       E-                      C2H         H2                                  3.00E-08    -0.84      0.0   50. 1000.  5 A DR
C2H3+       E-                      C2          H           H2                      1.50E-08    -0.84      0.0   50. 1000.  5 A DR
